Transaction_ID,Transaction_Date,Account_ID,Department,Vendor_ID,Transaction_Type,Amount,Payment_Method,Currency,Status,Posting_Date,Invoice_Number,Approver_ID,Created_By,Missing_Vendor_Flag,Missing_Approver_Flag,Missing_Account_Flag,Invalid_Amount_Flag,Invalid_Posting_Date_Flag,Duplicate_Invoice_Flag,Period_End_Flag,Required_Approval,Approval_Exception_Flag,Anomaly_Flag,Exception_Count,Exception_Flag,Risk_Level
TX0000002,2026-03-15,A004,Marketing,V0420,Invoice,7814.7,Card,GBP,Rejected,2026-03-16,INV00000002,EMP00496,USR0104,0,0,0,0,0,0,0,Senior Manager,0,1,1,1,Low
TX0000003,2025-12-27,A037,Operations,V0411,Journal Entry,707.22,Cheque,GBP,Approved,2025-12-28,INV00000003,EMP00036,USR0200,0,0,0,0,0,0,1,Department Manager,0,0,1,1,Low
TX0000009,2025-07-31,A080,Procurement,V0008,Credit Note,327.58,Card,GBP,Pending,2025-08-05,INV00000009,EMP00238,USR0140,0,0,0,0,0,0,1,Department Manager,0,0,1,1,Low
TX0000012,2025-06-27,A050,IT,V0366,Journal Entry,754.41,Card,USD,Rejected,2025-07-04,INV00000012,EMP00491,USR0173,0,0,0,0,0,0,1,Department Manager,0,0,1,1,Low
TX0000015,2025-08-30,A076,Operations,V0018,Invoice,533.25,Direct Debit,USD,Approved,2025-09-01,INV00000015,EMP00059,USR0110,0,0,0,0,0,0,1,Department Manager,0,0,1,1,Low
TX0000017,2025-08-28,A032,Sales,V0304,Payment,829.24,Direct Debit,EUR,Rejected,2025-08-31,INV00000017,EMP00326,USR0098,0,0,0,0,0,0,1,Department Manager,0,0,1,1,Low
TX0000030,2025-05-19,A019,Procurement,,Payment,4300.3,Card,EUR,Approved,2025-05-25,INV00000030,EMP00269,USR0073,1,0,0,0,0,0,0,Senior Manager,0,0,1,1,Low
TX0000031,2025-05-29,A014,IT,V0487,Payment,270.25,Card,GBP,Approved,2025-06-03,INV00000031,EMP00458,USR0078,0,0,0,0,0,0,1,Department Manager,0,0,1,1,Low
TX0000034,2025-12-27,A034,HR,V0238,Credit Note,262.82,Card,GBP,Approved,2026-01-03,INV00000034,EMP00366,USR0055,0,0,0,0,0,0,1,Department Manager,0,0,1,1,Low
TX0000038,2026-03-30,A079,Procurement,V0165,Invoice,1050.1,Direct Debit,GBP,Approved,2026-03-30,INV00000038,EMP00153,USR0124,0,0,0,0,0,0,1,Senior Manager,0,0,1,1,Low
