Transaction_ID,Transaction_Date,Account_ID,Department,Vendor_ID,Transaction_Type,Amount,Payment_Method,Currency,Status,Posting_Date,Invoice_Number,Approver_ID,Created_By
TX0000001,2025-07-12,A056,IT,V0474,Invoice,3496.05,Bank Transfer,GBP,Approved,2025-07-18,INV00000001,EMP00003,USR0099
TX0000002,2026-03-15,A004,Marketing,V0420,Invoice,7814.7,Card,GBP,Rejected,2026-03-16,INV00000002,EMP00496,USR0104
TX0000003,2025-12-27,A037,Operations,V0411,Journal Entry,707.22,Cheque,GBP,Approved,2025-12-28,INV00000003,EMP00036,USR0200
TX0000004,2025-07-16,A034,IT,V0062,Payment,257.18,Cheque,EUR,Rejected,2025-07-22,INV00000004,EMP00193,USR0188
TX0000005,2025-06-11,A080,Marketing,V0017,Payment,2407.81,Direct Debit,GBP,Approved,2025-06-17,INV00000005,EMP00210,USR0110
TX0000006,2025-10-06,A047,Operations,V0022,Invoice,440.42,Card,GBP,Rejected,2025-10-12,INV00000006,EMP00272,USR0046
TX0000007,2025-04-21,A030,Finance,V0460,Invoice,195.17,Card,GBP,Rejected,2025-04-22,INV00000007,EMP00147,USR0087
TX0000008,2025-07-12,A046,Procurement,V0271,Expense,1924.01,Cheque,USD,Pending,2025-07-18,INV00000008,EMP00297,USR0094
TX0000009,2025-07-31,A080,Procurement,V0008,Credit Note,327.58,Card,GBP,Pending,2025-08-05,INV00000009,EMP00238,USR0140
TX0000010,2025-11-01,A070,Finance,V0456,Payment,880.59,Direct Debit,GBP,Approved,2025-11-06,INV00000010,EMP00125,USR0154
TX0000011,2026-02-25,A033,HR,V0058,Expense,488.4,Direct Debit,USD,Pending,2026-02-28,INV00000011,EMP00261,USR0078
TX0000012,2025-06-27,A050,IT,V0366,Journal Entry,754.41,Card,USD,Rejected,2025-07-04,INV00000012,EMP00491,USR0173
TX0000013,2025-07-09,A015,Operations,V0040,Payment,969.87,Direct Debit,USD,Approved,2025-07-13,INV00000013,EMP00359,USR0158
TX0000014,2026-03-26,A020,IT,V0452,Expense,374.2,Direct Debit,EUR,Approved,2026-03-27,INV00000014,EMP00432,USR0029
TX0000015,2025-08-30,A076,Operations,V0018,Invoice,533.25,Direct Debit,USD,Approved,2025-09-01,INV00000015,EMP00059,USR0110
TX0000016,2025-08-09,A040,IT,V0443,Invoice,501.8,Cheque,GBP,Pending,2025-08-09,INV00000016,EMP00488,USR0183
TX0000017,2025-08-28,A032,Sales,V0304,Payment,829.24,Direct Debit,EUR,Rejected,2025-08-31,INV00000017,EMP00326,USR0098
TX0000018,2026-02-03,A012,Operations,V0489,Payment,1642.81,Bank Transfer,USD,Pending,2026-02-08,INV00000018,EMP00258,USR0189
TX0000019,2025-12-14,A015,Procurement,V0230,Invoice,783.51,Bank Transfer,EUR,Pending,2025-12-21,INV00000019,EMP00065,USR0039
TX0000020,2026-03-10,A059,HR,V0243,Invoice,528.72,Cheque,USD,Pending,2026-03-16,INV00000020,EMP00292,USR0013
TX0000021,2026-01-19,A060,Marketing,V0005,Invoice,3143.15,Card,EUR,Pending,2026-01-24,INV00000021,EMP00263,USR0011
TX0000022,2025-10-09,A072,Operations,V0149,Expense,2973.76,Cheque,GBP,Approved,2025-10-10,INV00000022,EMP00289,USR0129
TX0000023,2026-01-02,A004,IT,V0119,Invoice,547.61,Direct Debit,GBP,Pending,2026-01-09,INV00000023,EMP00255,USR0146
TX0000024,2025-09-08,A027,Operations,V0128,Invoice,484.98,Direct Debit,GBP,Approved,2025-09-15,INV00000024,EMP00395,USR0141
TX0000025,2026-02-08,A058,Finance,V0465,Journal Entry,2349.57,Card,EUR,Rejected,2026-02-11,INV00000025,EMP00138,USR0029
TX0000026,2025-04-22,A053,Operations,V0259,Expense,4654.9,Bank Transfer,GBP,Pending,2025-04-25,INV00000026,EMP00215,USR0169
TX0000027,2025-12-09,A078,Finance,V0218,Credit Note,621.77,Cheque,GBP,Approved,2025-12-12,INV00000027,EMP00055,USR0046
TX0000028,2025-11-22,A039,HR,V0443,Invoice,650.14,Card,USD,Rejected,2025-11-28,INV00000028,EMP00384,USR0025
TX0000029,2026-03-11,A015,IT,V0456,Credit Note,340.86,Card,USD,Pending,2026-03-18,INV00000029,EMP00024,USR0068
TX0000030,2025-05-19,A019,Procurement,,Payment,4300.3,Card,EUR,Approved,2025-05-25,INV00000030,EMP00269,USR0073
TX0000031,2025-05-29,A014,IT,V0487,Payment,270.25,Card,GBP,Approved,2025-06-03,INV00000031,EMP00458,USR0078
TX0000032,2025-09-17,A071,Marketing,V0065,Payment,1777.01,Cheque,GBP,Approved,2025-09-24,INV00000032,EMP00226,USR0132
TX0000033,2025-10-05,A006,Sales,V0251,Expense,2142.89,Direct Debit,GBP,Rejected,2025-10-07,INV00000033,EMP00286,USR0045
TX0000034,2025-12-27,A034,HR,V0238,Credit Note,262.82,Card,GBP,Approved,2026-01-03,INV00000034,EMP00366,USR0055
TX0000035,2025-10-07,A025,Procurement,V0249,Journal Entry,3015.46,Bank Transfer,GBP,Pending,2025-10-08,INV00000035,EMP00416,USR0113
TX0000036,2025-09-22,A041,Finance,V0156,Invoice,3089.08,Bank Transfer,EUR,Pending,2025-09-29,INV00000036,EMP00361,USR0131
TX0000037,2025-05-21,A050,Sales,V0038,Invoice,4944.44,Direct Debit,GBP,Approved,2025-05-24,INV00000037,EMP00452,USR0150
TX0000038,2026-03-30,A079,Procurement,V0165,Invoice,1050.1,Direct Debit,GBP,Approved,2026-03-30,INV00000038,EMP00153,USR0124
